Bill,role,alderman,billID
BB 130 Redevelopment plan for 4449-73 Evans,Primary,moore,BB 130
BB 196 2014 Lead grant bill,Co-Sponsor,moore,BB 196
BB 197 Low interest loans for residential energy efficiency,Co-Sponsor,moore,BB 197
BB 208 Civilian Review Board,Co-Sponsor,moore,BB 208
BB 223 Redevelopment plan for 2613-17 Marcus,Primary,moore,BB 223
BB 76 Ordinance regarding Maya Angelou's birthplace,Co-Sponsor,moore,BB 76
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,moore,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,moore,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,moore,BB 83
"BB 102 Vacation of alley at Martin Luther King, Whittier, Evans, Pendleton",Primary,moore,BB 102
BB 127 Ordinance making Cottage Av. one-way from Cora Av. to N. Taylor Av.,Primary,moore,BB 127
BB 139 Prohibiting liquor in 4th Ward,Primary,moore,BB 139
BB 143 Redevelopment plan for Greater Ville Scattered Sites,Primary,moore,BB 143
BB 169 Zoning change for 4232 W. Dr. Martin Luther King Drive,Primary,moore,BB 169
BB 170 Zoning change for 4110 & 4136 Evans,Primary,moore,BB 170
BB 176 Soldiers Memorial Agreement,Co-Sponsor,moore,BB 176
BB 207 Stadium Ordinance,Co-Sponsor,moore,BB 207
"BB 226 Redevelopment plan for 4626-4670,4625-4631, and 4647-4663 St. Ferdinand Ave.",Primary,moore,BB 226
BB 254 Prohibiting liquor in the 4th Ward,Primary,moore,BB 254
BB 269 Quit Claim to Myrtle Hilliard Davis Comprehensive Health Centers,Primary,moore,BB 269
BB 285 Traffic Management Enhancement bill,Co-Sponsor,moore,BB 285
"BB 297 Renaming 4600 Page as ""Rev. Dr. Ronald L. Bobo, Sr. Avenue",Primary,moore,BB 297
"BB 298 Renaming 4200 Kennerly as ""Bishop Robert J. Ward Avenue",Primary,moore,BB 298
BB 304 Ordinance establishing a stop sight on Page and Marcus,Primary,moore,BB 304
BB 69 Short-Term Lending Code,Co-Sponsor,moore,BB 69
BB 70 Election Approving Permit Fees for Short-Term Loan Establishments,Co-Sponsor,moore,BB 70
BB 119 Redevelopment plan for 4308-4324 Dr. Martin Luther King,Primary,moore,BB 119
BB 218 Revision to Greater Ville Special Use District (zoning),Primary,moore,BB 218
BB 305 Ordinance approving minority & women owned business program,Co-Sponsor,moore,BB 305
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,moore,BB 11
BB 30 Ordinance establishing 3-way stop at Taylor and Kennerly,Primary,moore,BB 30
BB 37 Ordinance regarding Confederate Memorials,Co-Sponsor,moore,BB 37
BB 139 Street name change to Norma Leggett Lane,Primary,moore,BB 139
BB 145 Redevelopment plan for St. Ferdinand Phase II Redevelopment Area,Primary,moore,BB 145
"BB 156 Redevelopment plan amended for 3922-68, 3919-29 and 3939-67 Lincoln",Primary,moore,BB 156
BB 189 Zoning change for 2505 N. Sarah,Primary,moore,BB 189
BB 205 Redevelopment plan for 2400-22 N. Sarah  and 4056-58 St. Ferdinand,Primary,moore,BB 205
BB 233 Ordinance amending Civilian Oversight Board Bill,Co-Sponsor,moore,BB 233
BB 234 Ordinance establishing Independent Investigations Unit,Co-Sponsor,moore,BB 234
"BB 267 honorary street name, Frankie Muse Freeman 	Boulevard,",Primary,moore,BB 267
BB 25 An ordinance submitting to the qualified voters of the City a proposed amendment to the Charter of the City to maintain the Board of Aldermen as body of twenty-eight Aldermen,Co-Sponsor,moore,BB 25
BB 27 Fourth Ward Liquor Control District,Primary,moore,BB 27
BB 78  Redevelopment Plan for the 2615 Billups,Primary,moore,BB 78
"BB 97 An ordinance approving a Redevelopment Plan for the 4338, 4341 and 4345 Evans Ave. Area",Primary,moore,BB 97
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,muhammad,BB 11
BB 37 Ordinance regarding Confederate Memorials,Co-Sponsor,muhammad,BB 37
BB 64 Redevelopment plan for 4025 Shreve,Primary,muhammad,BB 64
BB 66 Ordinance regarding use of surveillance technology,Co-Sponsor,muhammad,BB 66
BB 84 Renaming O'Fallon Park to York Park,Primary,muhammad,BB 84
BB 94 Honorary street name change to Terry 'Chip' Jones Way,Primary,muhammad,BB 94
BB 119 City Works Now,Primary,muhammad,BB 119
BB 127 Establishing speed bumps in O'Fallon Park,Primary,muhammad,BB 127
BB 142 Redevelopment plan for 4400-44 and 4401-03 Red Bud,Primary,muhammad,BB 142
BB 146 Redevelopment plan for 4100-4798 and 4101-4799 W. Natural Bridge,Primary,muhammad,BB 146
BB 169 Ordinance relating to urban agriculture,Primary,muhammad,BB 169
BB 170 Ordinance closing 4400 Red Bud,Primary,muhammad,BB 170
BB 177 Ordinance regarding Civilian Oversight Board,Primary,muhammad,BB 177
BB 187 LRA property sales,Primary,muhammad,BB 187
BB 193 An ordinance pertaining to unlawful possession of marijuana,Co-Sponsor,muhammad,BB 193
BB 214 Redevelopment plan for 4200-98 & 4201-99 Harris,Primary,muhammad,BB 214
BB 222 Ordinance establishing the Annual Public Safety Plan,Co-Sponsor,muhammad,BB 222
BB 233 Ordinance amending Civilian Oversight Board Bill,Co-Sponsor,muhammad,BB 233
BB 234 Ordinance establishing Independent Investigations Unit,Co-Sponsor,muhammad,BB 234
BB 235 Street name change to Pastor Steven Shepard Lane,Primary,muhammad,BB 235
BB 237 Street name change to Patricia Breeze Campbell Way,Primary,muhammad,BB 237
BB 246 Additional sales tax and use tax established by Ord 7058,Co-Sponsor,muhammad,BB 246
BB 268 Twenty-First Ward Liquor Control District.,Primary,muhammad,BB 268
BB 25 An ordinance submitting to the qualified voters of the City a proposed amendment to the Charter of the City to maintain the Board of Aldermen as body of twenty-eight Aldermen,Primary,muhammad,BB 25
"BB 30 An Ordinance directing the Director of Streets to temporarily close, barricade, or otherwise impede the flow of traffic on Anderson Avenue at the north curb line of Dryden Avenue, and containing an emergency clause.",Primary,muhammad,BB 30
BB 93 An Ordinance requiring a City-wide vote to approve any proposal aimed at or having the effect of privatizing the Lambert St. Louis International Airport (the â€œAirportâ€ù),Co-Sponsor,muhammad,BB 93
BB 48 Gregory J. Carter Park,Co-Sponsor,murphy,BB 48
BB 142 Establishment of a honorary Poet Laureate,Co-Sponsor,murphy,BB 142
BB 195 Leasehold Revenue Refunding Bonds,Co-Sponsor,murphy,BB 195
BB 196 2014 Lead grant bill,Co-Sponsor,murphy,BB 196
BB 221 Competitive bidding and composition of workforce,Co-Sponsor,murphy,BB 221
BB 18 Redevelopment plan for 5414 Alaska,Primary,murphy,BB 18
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,murphy,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,murphy,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,murphy,BB 83
BB 115 Ordinance pertaining to Recreation Centers,Co-Sponsor,murphy,BB 115
BB 176 Soldiers Memorial Agreement,Co-Sponsor,murphy,BB 176
BB 188 Redevelopment plan for 4309 Gertrude,Primary,murphy,BB 188
BB 265 Earnings Tax,Co-Sponsor,murphy,BB 265
BB 57 Ordinance calling for a proposal to levy property tax,Co-Sponsor,murphy,BB 57
BB 63 Fiscal Note Bill,Co-Sponsor,murphy,BB 63
BB 92 Vacation of N/S alley at Terrance/Christy,Primary,murphy,BB 92
BB 127 Ordinance to establish the Bevo CID,Co-Sponsor,murphy,BB 127
BB 151 Amending Public Nuisances Code,Co-Sponsor,murphy,BB 151
BB 230 Redevelopment plan for 5092 Milentz,Primary,murphy,BB 230
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,murphy,BB 11
BB 99 Collection of funds for prevention of domestic violence,Co-Sponsor,murphy,BB 99
BB 113 Street name change S. Sgt. Ron Bozikis,Co-Sponsor,murphy,BB 113
BB 132 Establishing the Office of Community Mediation,Co-Sponsor,murphy,BB 132
BB 246 Additional sales tax and use tax established by Ord 7058,Co-Sponsor,murphy,BB 246
"BB 34 Redevelopment Plan for the 5019, 5032 & 5034 Ulena Ave",Primary,murphy,BB 34
"BB 73 An ordinance pertaining to conveyances of 	title and the recording of such transfer with the Recorder of  Deeds; amending Section Three of Ordinance 56141, and 	Ordinance 65038",Co-Sponsor,murphy,BB 73
"BB 87 Honorary street name, Robert Prager Way, to begin at the intersection of Morgan Ford Road and Bates Street and run west on Bates Street to the intersection of Bates Street and Gravois Avenue.",Primary,murphy,BB 87
BB 99 Collection of funds for prevention of domestic violence,Co-Sponsor,navarro,BB 99
BB 115 Renaming Parkland Park to Frank Williamson Sr. Park,Co-Sponsor,navarro,BB 115
BB 132 Establishing the Office of Community Mediation,Co-Sponsor,navarro,BB 132
BB 207 Dissolution of the East Loop/Parkview Gardens Special Business District,Primary,navarro,BB 207
BB 227 Lead  Hazard Reduction Demonstration Grant,Co-Sponsor,navarro,BB 227
BB 233 Ordinance amending Civilian Oversight Board Bill,Co-Sponsor,navarro,BB 233
BB 266 Redev Plan for 215 York,Primary,navarro,BB 266
BB 62 prohibiting the issuance of any 3 a.m. closing permits for any currently non-3am licensed premises within the boundaries of the Twenty-Eighth Ward Liquor Control District,Primary,navarro,BB 62
"BB 70 First Amendment of the Lease Agreement authorized by Ordinance 63956 between the City, and the Municipal Theatre Association",Primary,navarro,BB 70
BB 91  Skinker â€“DeBaliviere-Catlin Tract-Parkview Historic District;,Primary,navarro,BB 91
"BB 92 Intergovernmental Cooperation Agreement by and among the City and the Art Museum Subdistrict of the Metropolitan Zoological Park and the Museum District of the City of St. Louis, a political subdivision of the state of Missouri (the â€œMuseumâ€ù) .",Primary,navarro,BB 92
BB 93 An Ordinance requiring a City-wide vote to approve any proposal aimed at or having the effect of privatizing the Lambert St. Louis International Airport (the â€œAirportâ€ù),Co-Sponsor,navarro,BB 93
BB 37 Liquor moratorium in the 24th Ward,Primary,ogilvie,BB 37
BB 45 Redev. plan for 2118 Forest,Primary,ogilvie,BB 45
BB 75 Ord. pertaining to dog training,Co-Sponsor,ogilvie,BB 75
BB 83 Redev. plan for 1538 - 1564 Fairmont,Primary,ogilvie,BB 83
BB 86 Ordinance pertaining to scrap metal,Co-Sponsor,ogilvie,BB 86
BB 121 Establishing CID for Cheshire Annex,Primary,ogilvie,BB 121
BB 187 Terminate Scullin TIF,Primary,ogilvie,BB 187
BB 189 Ord. Relating to Forest Park,Co-Sponsor,ogilvie,BB 189
BB 224 Cooperative agrmt for Multiple projects,Primary,ogilvie,BB 224
BB 246 Ordinance pertaining to semi-trailer trucks.,Primary,ogilvie,BB 246
BB 258 Residential and commercial bicycling,Primary,ogilvie,BB 258
BB 269 Redevelopment plan for 2010 Kraft,Primary,ogilvie,BB 269
"BB 7 Rezoning Zoo Parcels on Berthhold, Oakland surrounding areas",Primary,ogilvie,BB 7
BB 19 Zoning change for 7201 -03 Piccadilly,Primary,ogilvie,BB 19
BB 31 Charter Amendment amending the number of aldermen,Co-Sponsor,ogilvie,BB 31
BB 32 5% limit at service stations for liquor,Primary,ogilvie,BB 32
BB 53 Prohibiting the harassment of pedestrians and bicyclists,Primary,ogilvie,BB 53
BB 53 Prohibiting the harassment of pedestrians and bicyclists,Primary,ogilvie,BB 53
BB 70 Redevelopment plan for 1574-82 Fairmount,Primary,ogilvie,BB 70
BB 92 An ordinance pertaining to pedestrian access to buildings.,Primary,ogilvie,BB 92
BB 155 Ordinance pertaining to Deaconess Health System Community Unit Plan,Primary,ogilvie,BB 155
BB 160 Ordinance pertaining to mortgage foreclosure.,Co-Sponsor,ogilvie,BB 160
BB 161 Ordinance pertaining to solicitation on highway entrance and exit ramps,Co-Sponsor,ogilvie,BB 161
BB 172 Conflicts of interest,Primary,ogilvie,BB 172
BB 204 Clayton/Skinker/Oakland public works,Co-Sponsor,ogilvie,BB 204
BB 275 Marijuana decriminalization,Co-Sponsor,ogilvie,BB 275
BB 293 Ordinance prohibiting liquor in 24th Ward,Primary,ogilvie,BB 293
BB 5 Zoning change for Copying Concepts Site,Primary,ogilvie,BB 5
BB 8 Local Control,Co-Sponsor,ogilvie,BB 8
BB 69 Ordinance pertaining to campaign contribution limits,Primary,ogilvie,BB 69
"BB 94 Quit Claim for 12,000 for K.A.M. Investment",Primary,ogilvie,BB 94
BB 163 Redev. plan for 2144 McCausland,Primary,ogilvie,BB 163
BB 203 Ordinance pertaining to street vendors,Primary,ogilvie,BB 203
BB 213 Redevelopment plan for 6905 Wise Ave.,Primary,ogilvie,BB 213
BB 232 Zoning change for 7207 Piccadilly,Primary,ogilvie,BB 232
BB 256 Redevelopment plan for 6301 Manchester,Primary,ogilvie,BB 256
BB 257 Redevelopment plan for 2329-31 Hampton,Primary,ogilvie,BB 257
BB 332 Ordinance relating to identification of High Merit historic properties.,Co-Sponsor,ogilvie,BB 332
BB 44 Redevelopment plan for 6201-05 Columbia,Primary,ogilvie,BB 44
BB 142 Establishment of a honorary Poet Laureate,Co-Sponsor,ogilvie,BB 142
BB 198 Ordinance amending complete streets policy,Primary,ogilvie,BB 198
BB 208 Civilian Review Board,Co-Sponsor,ogilvie,BB 208
BB 214 Liquor moratorium for 24th Ward,Primary,ogilvie,BB 214
BB 6 Redevelopment plan for 6215 Marmaduke,Primary,ogilvie,BB 6
BB 108 Ordinance pertaining to graduated business license,Co-Sponsor,ogilvie,BB 108
BB 109 Ordinance pertaining to the regulation of home occupations,Primary,ogilvie,BB 109
BB 115 Ordinance pertaining to Recreation Centers,Co-Sponsor,ogilvie,BB 115
BB 131 Redevelopment plan for 5803-37 Dale,Primary,ogilvie,BB 131
BB 158 Redevelopment plan for 1509 Fairmount,Primary,ogilvie,BB 158
BB 173 Amending Minimum Wage ord. pertaining to Sheltered Workshops,Primary,ogilvie,BB 173
BB 176 Soldiers Memorial Agreement,Co-Sponsor,ogilvie,BB 176
BB 244 Redevelopment plan for 1243 Graham,Primary,ogilvie,BB 244
BB 265 Earnings Tax,Co-Sponsor,ogilvie,BB 265
BB 268 25M GO Bond,Primary,ogilvie,BB 268
BB 296 Amending Animal Code,Primary,ogilvie,BB 296
BB 303 Ordinance amending tax abatement for Fairmount Properties,Primary,ogilvie,BB 303
"BB 306 Zoning change for 7144R Manchester, 7155 Lanham",Primary,ogilvie,BB 306
BB 307 Zoning change for 1300-22 Hampton,Primary,ogilvie,BB 307
BB 309 Ordinance requiring online record of Board of Aldermen votes,Primary,ogilvie,BB 309
BB 40 Ordinance pertaining to drug related overdoses and medical assistance,Co-Sponsor,ogilvie,BB 40
BB 52 Prohibiting liquor in 24th Ward,Primary,ogilvie,BB 52
BB 53 Ordinance pertaining to campaign contribution limits,Primary,ogilvie,BB 53
BB 54 Ordinance banning lobbyist from the Board of Aldermen Chambers,Co-Sponsor,ogilvie,BB 54
BB 88 Ordinance regarding Traffic Calming,Co-Sponsor,ogilvie,BB 88
BB 133 Redevelopment plan for 1615 Hampton,Primary,ogilvie,BB 133
BB 134 Redevelopment plan for 6635-45 Clayton,Primary,ogilvie,BB 134
BB 135 Redevelopment plan for 6718 Dale,Primary,ogilvie,BB 135
BB 151 Amending Public Nuisances Code,Co-Sponsor,ogilvie,BB 151
BB 180 Redevelopment plan for 6654-56 Mitchell,Primary,ogilvie,BB 180
BB 239 Redevelopment plan for 5814 West Park,Primary,ogilvie,BB 239
"BB 265 vacation of alley at Kraft, Wise, Louisville, Park,",Primary,ogilvie,BB 265
"BB 265 vacation of alley at Kraft, Wise, Louisville, Park,",Primary,ogilvie,BB 265
BB 4 Rezoning of 6510 Mitchell,Primary,ogilvie,BB 4
BB 15 Establishing three-way stop at Hoffman and Clifton,Primary,ogilvie,BB 15
BB 16 Establishing three-way stop at Berthold and Graham,Primary,ogilvie,BB 16
BB 31 Ordinance to Join Clean Energy Act,Co-Sponsor,ogilvie,BB 31
BB 37 Ordinance regarding Confederate Memorials,Co-Sponsor,ogilvie,BB 37
"BB 62 Vacation of alley at Eitman, Sulphur, Columbia and Clifton Park Terrace",Primary,ogilvie,BB 62
BB 67 6300 Clayton TIF Plan,Primary,ogilvie,BB 67
BB 68 6300 Clayton TIf Agreement,Primary,ogilvie,BB 68
BB 69 6300 Clayton TIF Note,Primary,ogilvie,BB 69
BB 82 Vacation of Clifton at Columbia,Primary,ogilvie,BB 82
BB 130 Ordinance pertaining to Scottrade Center,Co-Sponsor,ogilvie,BB 130
"BB 151 Redevelopment plan for 6755, 6767, 6769 Nashville",Primary,ogilvie,BB 151
BB 167 Stop sign for Piccadilly,Primary,ogilvie,BB 167
BB 213 Redevelopment plan for 1216-1218 Kraft,Primary,ogilvie,BB 213
BB 218 Ordinance regarding the regulation of bike sharing,Primary,ogilvie,BB 218
BB 40 Redevelopment Plan for the 6452 Nashville Ave. & 6453 Wade Ave. Area,Primary,ogilvie,BB 40
BB 93 An Ordinance requiring a City-wide vote to approve any proposal aimed at or having the effect of privatizing the Lambert St. Louis International Airport (the â€œAirportâ€ù),Co-Sponsor,ogilvie,BB 93
"BB 99 AN ORDINANCE RECOMMENDED BY THE BOARD OF PUBLIC SERVICE AUTHORIZING THE MAYOR AND COMPTROLLER OF THE CITY OF ST. LOUIS TO EXECUTE AN EASEMENT AGREEMENT, WHICH SHALL GIVE, GRANT, EXTEND AND CONFER IN PERPETUITY ON THE CITY, ITS AGENTS, SUCCESSORS AND",Primary,ogilvie,BB 99
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,oldenburg,BB 11
BB 132 Establishing the Office of Community Mediation,Co-Sponsor,oldenburg,BB 132
BB 215 3-way stop at Devanshire and Childress,Primary,oldenburg,BB 215
BB 240 Public Improvement Bonds,Co-Sponsor,oldenburg,BB 240
BB 245 SLDC to complete an annual City Economic Growth Strategy Report,Co-Sponsor,oldenburg,BB 245
BB 246 Additional sales tax and use tax established by Ord 7058,Primary,oldenburg,BB 246
BB 259 Playground Smoking Ban,Primary,oldenburg,BB 259
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,pboyd,BB 11
BB 85 Ordinance prohibiting the sale of paraphernalia for cannabis,Primary,pboyd,BB 85
BB 125 Ordinance repealing Ordinance 70573 pertaining to liquor licenses in the 27th Ward,Primary,pboyd,BB 125
BB 233 Ordinance amending Civilian Oversight Board Bill,Primary,pboyd,BB 233
BB 234 Ordinance establishing Independent Investigations Unit,Co-Sponsor,pboyd,BB 234
BB 246 Additional sales tax and use tax established by Ord 7058,Co-Sponsor,pboyd,BB 246
BB 9 An ordinance pertaining to curfew in Buder Park,Primary,reed,BB 9
BB 21 Zoning change in City Block 918,Primary,reed,BB 21
BB 22 Zoning change in City Block 930 and 931,Primary,reed,BB 22
BB 34 An ordinance approving a Redevelopment Plan for the 3134-36 Shenandoah Area,Primary,reed,BB 34
BB 35 An ordinance approving a Redevelopment Plan for the 3429 Hartford Street Area,Primary,reed,BB 35
BB 36 An ordinance approving a Redevelopment Plan for the 3317 Magnolia Avenue Area,Primary,reed,BB 36
BB 37 An ordinance approving a Redevelopment Plan for the 2009-23 Chouteau Avenue Area,Primary,reed,BB 37
"BB 53 An Ordinance recommended by the Planning Commission, to change the zoning of property as indicated on the District Map, to the â€œIâ€ù Central Business District",Primary,reed,BB 53
"BB 54 An Ordinance recommended by the Planning Commission on April 6, 2005, to change the zoning of property as indicated on the District Map, to the â€œIâ€ù Central Business District",Primary,reed,BB 54
BB 69 An ordinance establishing a Civilian Review Board,Co-Sponsor,reed,BB 69
BB 70 An ordinance pertaining to dogs and dog parks,Primary,reed,BB 70
BB 70 An ordinance pertaining to dogs and dog parks,Primary,reed,BB 70
"BB 88 An ordinance amending ordinance No. 66494 adopted by the Board of Alderman on November 19, 2004; authorizing the execution of an amendment to redevelopment agreement by and between the city an Adler Lofts, LLC;",Primary,reed,BB 88
"BB 103 An ordinance designating a portion of the City of St. Louis, Missouri, as a redevelopment area known as the 2300 Locust Street redevelopment area pursuant to the Real Property Tax Increment Allocation Redevelopment Act",Primary,reed,BB 103
"BB 104 An ordinance affirming adoption of a redevelopment plan, redevelopment area, redevelopment project, authorizing the execution of a redevelopment agreement between the City and NSI Ventures, LLC;",Primary,reed,BB 104
"BB 105 An ordinance directing the issuance and delivery of not to exceed $1,800,000 plus issuance costs principal amount of tax increment revenue notes (2300 Locust Street Redevelopment Project)",Primary,reed,BB 105
BB 128 An ordinance approving the dissolution of the Downtown Parks Business District,Primary,reed,BB 128
"BB 151 An ordinance approving a Redevelopment Plan for the 2914, 2916-18 and 3008-10 S. Compton Avenue. Area",Primary,reed,BB 151
"BB 163 An ordinance approving the petition of the 2017 Chouteau Community Improvement District and Chouteau Building, L.P.",Primary,reed,BB 163
"BB 172 An ordinance designating a portion of the City of St. Louis, Missouri, as a redevelopment area known as the 1635 Washington Redevelopment Area Pursuant to the Real Property Tax Increment Allocation Redevelopment Act",Primary,reed,BB 172
"BB 173 An ordinance affirming adoption of a redevelopment plan, redevelopment area, and redevelopment project; authorizing the execution of a redevelopment agreement between the City and 1641 Washington, LLC",Primary,reed,BB 173
"BB 174 An ordinance directing the issuance and delivery of not to exceed $2,330,000 plus issuance costs principal amount of tax increment revenue notes (1635 Washington Redevelopment Project)",Primary,reed,BB 174
"BB 178 An ordinance designating a portion of the City of St. Louis, Missouri, as a redevelopment area known as the Ely Walker Lofts Redevelopment area",Primary,reed,BB 178
"BB 179 An ordinance affirming adoption of a redevelopment plan, redevelopment area, and redevelopment project; authorizing the execution of a redevelopment agreement between the City and Orchard Development Group III",Primary,reed,BB 179
"BB 180 An Ordinance authorizing the issuance of $6,000.000 in tax increment reveneu notes(Ely Walker Lofts)",Primary,reed,BB 180
BB 181 an Ordinance designating a portion of the City of St. Louis as a redevelopmnet area known as the West Town Lofts redevelopment area pursuant to the real property tax increment allocation act,Primary,reed,BB 181
"BB 182 An ordinance adopting a redevelopment plan and authorizing a redevelopment agreement between the city and KN&C, LLC.",Primary,reed,BB 182
"BB 183 An ordinance authorizing the issuance of $2,400,000 of tax increment revenue notes (West Town Lofts)",Primary,reed,BB 183
BB 187 an ordinance designating a redevelopment area known as the Packard Lofts Redevelopment area pursuant to the real property tax increment allocation act,Primary,reed,BB 187
BB 188 an ordinance adopting a redevelopment plan and redevelopment area and authorizing the execution of a redevelopment agreement between the city and Packard Lofts LLC,Primary,reed,BB 188
"BB 189 an ordinance authorizing the issuance of $1,300,000 of tax increment revenue notes (Packard Lofts Redevelopment Project)",Primary,reed,BB 189
BB 225 Ordinance to change the zoning at 2211-19 Lucus,Primary,reed,BB 225
BB 240 Redevelopment plan for 2503 Minnesota,Primary,reed,BB 240
BB 241 Redevelopment plan for 2650-54 Locust,Primary,reed,BB 241
BB 267 Redevelopment plan for 1601 Olive.,Primary,reed,BB 267
BB 282 Ordinance relating to traffic control.,Co-Sponsor,reed,BB 282
BB 282 Ordinance relating to traffic control.,Co-Sponsor,reed,BB 282
BB 283 Downtown west zoning change.,Co-Sponsor,reed,BB 283
BB 283 Downtown west zoning change.,Co-Sponsor,reed,BB 283
BB 291 Amended Residence Inn,Primary,reed,BB 291
BB 294 Removing traffic Barriers on 18th street.,Primary,reed,BB 294
BB 299 Redevelopment plan for 2803-33 Chouteau and 2832 Papin,Primary,reed,BB 299
BB 300 Redevelopment plan for 2905 Victor,Primary,reed,BB 300
"BB 309 Vacation of east/west alley at MLK and 18, Delmar and 19th.",Primary,reed,BB 309
BB 314 Ordinance relating to graffiti,Co-Sponsor,reed,BB 314
BB 348 Amending the TIF agreement for 1505 Missouri,Primary,reed,BB 348
BB 349 Amending the TIF note for 1505 Missouri,Primary,reed,BB 349
BB 357 An ordinance approving a Redevelopment Plan for the 2628-42 & 2652-54 Lafayette Ave.,Primary,reed,BB 357
BB 375 An ordinance approving an amended redevelopment plan for the Washington Ave. Loft Area.,Primary,reed,BB 375
BB 378 An ordinance approving a Redevelopment Plan for the 3449 Arsenal Street Area.,Primary,reed,BB 378
BB 379 An ordinance approving a Redevelopment Plan for the 1220 Mackay Place Area,Primary,reed,BB 379
BB 380 An ordinance approving a Redevelopment Plan for the 2639 Nebraska Avenue Area,Primary,reed,BB 380
BB 381 An ordinance approving a Redevelopment Plan for the 3004 Virginia Avenue Area,Primary,reed,BB 381
BB 402 An ordinance approving a Redevelopment Plan for the 2928 Victor Street Area,Primary,reed,BB 402
BB 413 ORDINANCE DESIGNATING the Union Club TIF,Primary,reed,BB 413
BB 414 AN ORDINANCE AFFIRMING ADOPTION OF Union Club TIF Plan,Primary,reed,BB 414
"BB 415 AN ORDINANCE AUTHORIZING AND DIRECTING THE ISSUANCE AND DELIVERY OF NOT TO EXCEED $1,900,000 for the Union club TIF",Primary,reed,BB 415
BB 428 An ordinance pertaining to public works contracts establishing apprenticeship training and workforce diversity programs,Co-Sponsor,reed,BB 428
BB 8 Closing 17th Street at Chouteau,Primary,reed,BB 8
BB 68 18th St. South of Chouteau/Dielman/Hickory/18th,Primary,reed,BB 68
BB 80 Vacate Lucas from 19th St. to 20th St.,Primary,reed,BB 80
BB 81 Vacate Lucas from Jefferson to 23rd.,Primary,reed,BB 81
BB 93 Vacation of the alley at Delmar/ 21st/ Lucas and 22nd,Primary,reed,BB 93
BB 98 An ordinance pertaining to public works contracts establishing apprenticeship training and workforce diversity programs for City-funded public works contracts and projects funded by federal highway and transit funds within the borders of the City of St. Louis.,Co-Sponsor,reed,BB 98
BB 114 Redevelopment plan for 2745 Locust,Primary,reed,BB 114
BB 114 Redevelopment plan for 2745 Locust,Primary,reed,BB 114
BB 117 Ordinance pertaining to Lafayette Park,Primary,reed,BB 117
BB 117 Ordinance pertaining to Lafayette Park,Primary,reed,BB 117
BB 136 Redevelopment plan for 2927 Michigan,Primary,reed,BB 136
"BB 145 Redevelopment plan for 3143-45, 3450 Arsenal",Primary,reed,BB 145
BB 146 Redevelopment plan for 2347 Rutger,Primary,reed,BB 146
BB 147 Redevelopment plan for 2624 Nebraska,Primary,reed,BB 147
BB 155 Graduated business license tax for the Public Trust Fund,Co-Sponsor,reed,BB 155
BB 156 Graduated Business License Tax for Public Safety Purposes,Co-Sponsor,reed,BB 156
"BB 157 Ordinance relating to parks; subject to the approval of the voters, a sales tax",Co-Sponsor,reed,BB 157
"BB 157 Ordinance relating to parks; subject to the approval of the voters, a sales tax",Co-Sponsor,reed,BB 157
"BB 169 AN ORDINANCE AMENDING ORDINANCE NO. 66413; AUTHORIZING THE EXECUTION OF AN AMENDMENT TO REDEVELOPMENT AGREEMENT BY AND BETWEEN THE CITY AND 410 NO. JEFFERSON, LLC; AND CONTAINING A SEVERABILILTY CLAUSE.",Primary,reed,BB 169
"BB 172 AN ORDINANCE AMENDING ORDINANCE NO. 65978; AUTHORIZING THE EXECUTION OF AN AMENDMENT TO REDEVELOPMENT AGREEMENT BY AND BETWEEN THE CITY AND CITY HOSPITAL DEVELOPMENT, L.L.C.;AND CONTAINING A SEVERABILILTY CLAUSE.",Co-Sponsor,reed,BB 172
BB 190 Vacation of 18th at Chouteau and Papin,Primary,reed,BB 190
BB 198 Quit claim for 826-30R S. 18th,Primary,reed,BB 198
BB 207 Redev. plan for 3023 Allen & 1920 Longfellow,Primary,reed,BB 207
BB 208 Redev. Plan for 2521 Minnesota,Primary,reed,BB 208
BB 209 Redev. 1923 S. Compton,Primary,reed,BB 209
BB 210 Redev. plan for 2109-11 Olive,Primary,reed,BB 210
BB 251 Ordinance pertaining to the traffic code,Co-Sponsor,reed,BB 251
BB 258 Redevelopment plan for 2600 Minnesota,Primary,reed,BB 258
BB 259 Redevelopment plan for 2622-24 Louisiana,Primary,reed,BB 259
BB 260 Redevelopment plan for 3445 Shenandoah,Primary,reed,BB 260
BB 261 Redevelopment plan for 1916 Nebraska,Primary,reed,BB 261
BB 269 GEW lofts TIF plan,Primary,reed,BB 269
